influencer_name,views,likes,comments,engagement_rate_%,speech_sentiment,product_name,product_category,product_rating,product_review_count,product_sentiment,has_product_overlay,is_sponsored,promotion,sentiment_difference,authenticity_score,authenticity_label
Techno Hunters Tamil,21229,1166,4,5.511,0.5231,Foxin 10000mAh All-in-One Mini Power Bank with Built-in Cables | Fast Charging 22.5W QC+PD | Pocket Size Power Bank for All Phones | PTC Protected | Type C Input & Output | BIS Certified – Lavender,"Mobiles & Accessories
Laptops & Accessories
TV & Home Entertainment
Audio
Cameras
Computer Peripherals
Smart Technology",4.1,76,0.362,False,True,True,0.16110000000000002,91.945,Highly Authentic
SimpleGhar Tamil,18074914,351347,214,1.945,0.8243,"Godrej 30 L Qube Personal Standard Single door Cooling Solution (TEC Qube 30L HS Q103, Black)","Kitchen & Home Appliances
Large Appliances
Kitchen & Dining
Furniture
Home Furnishing
Home Decor
Home Improvement",3.6,30,0.7084,True,False,True,0.1159,94.20500000000001,Highly Authentic
Foodie Bharathi,32906,669,15,2.079,0.0529,"Cult Smart Body Fat Scale, US FDA Approved, 20+ Parameters, BMI, 10 members, Bluetooth Weight Machine, Body Fat Analyzer, LED Display.","Health & Personal Care
Bestsellers
Diet & Nutrition
Household Supplies
Health Care
Medical Equipment
Personal Care
Sports Supplements
Shaving & Hair Removal",4.3,82,0.273,True,False,True,0.22010000000000002,88.995,Highly Authentic
A Dapper Fashioner,10890,214,1,1.974,0.8532,"Chemist At Play Exfoliating Body Wash 236ml | Removes Tan, Fights Body Acne, Strawberry Skin | 4% (Salicylic Acid, Vitamin E & Lactic Acid) | Gentle Exfoliating Shower Gel For Women & Men","Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.3,60,0.7681,True,True,True,0.08509999999999995,95.745,Highly Authentic
Subha Ranganath,8963,295,4,3.336,0.5065,Aqualogica Detan+ Dewy Sunscreen Spray For All Skin Types | Mess-Free Application I Hydrating & Sweat Resistant I Water-Light Texture | SPF 50+ PA++++ | For Men & Women | 100 ml,"Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",3.9,32,0.1993,True,False,True,0.3071999999999999,84.64,Highly Authentic
Glamup by Bhumika,164291,1168,37,0.733,-0.5621,Hyphen All I Need Sunscreen SPF 50 PA ++++ |Lightweight Sun Cream That Moisturizes & Leaves No White Cast| UVA & UVB Sun Protection & Blue Light Protection|For Women & Men| Rich in Anti-Oxidants| 50ml,"Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.2,92,0.552,False,False,False,1.1141,44.294999999999995,Low Authenticity
JUUJEE VLOGS,665189,13331,80,2.016,0.906,Ghar Soaps Sandalwood & Saffron Magic Soaps For Bath (100 Gms Pack Of 2) | Paraben Free | Chandan & Kesar Bath Soap | Handmade Soaps For Glowing | Skin Brightening Soap For Men & Women,"Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",3.9,69,0.5138,False,True,True,0.3922,80.39,Highly Authentic
Basics With Bharath,389062,9009,34,2.324,0.2618,The Plant Fix Plix Jamun Acne Spot Corrector Gel For Reducing Active Acne | Day & Night Gel | Controls Oil & Soothes Inflammation | For Men & Women | 15g,"Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",3.9,78,0.4279,True,False,True,0.16610000000000003,91.695,Highly Authentic
Lav💕,481768,7633,50,1.595,0.8894,"Conscious Chemist® Rapid Relief Acne Spot Corrector Gel | 15g | Triple-Action Treatment with 2% Salicylic Acid & Azelaic Acid | Clears Pimples, Reduces Redness & Fades Dark Spots | For Men & Women","Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",3.9,87,0.3703,True,True,True,0.5190999999999999,74.045,Moderately Authentic
Atchaya Sony ,27600,458,22,1.739,0.387,"DERMATOUCH Bye Bye Pigmentation Cream | Anti-Pigmentation Cream for Women and Men with Niacinamide, B-White, Lime Pearl, OA Hydroxitirosol LD & Tyrostat | 19g","Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",3.8,67,0.0989,False,False,False,0.2881,85.595,Highly Authentic
Shadhik Azeez,1437706,50832,182,3.548,0.7328,"LuvLap Alpha Baby Stroller/Pram, One Fold, Travel Friendly, 5 Point Safety Harness, Reversible Handle bar, Multilevel Recline & Adjustable footrest, Extendable Canopy, for Babies 0-3 Years (Black)","Baby
Baby Wish List
Bestsellers
Diapering
Baby Care
Feeding
Activity & Entertainment
Bedding, Furniture & Room Décor
Potty Training
Stroller, Prams & Carriers",4.3,61,0.7097,True,False,True,0.02310000000000001,98.845,Highly Authentic
Rajabaron,510413,25047,262,4.959,0.951,"DC DOCTORS CHOICE Oats, High Protein Oats, 27G Pure Protein Breakfast Cereals, Rich in Fiber, No Additives and No Refine Sugar. (750g, Dark Choco Berry)","Grocery & Gourmet Foods
Bestsellers
Snack Foods
Tea, Coffee & Beverages
Spices & Masalas
Dried Fruits & Nuts
Cereal & Muesli",4.2,67,0.3831,False,True,True,0.5679,71.605,Moderately Authentic
TBB,76442,1601,1,2.096,0.9395,"Jovees Herbal Sun Guard Sunscreen Lotion SPF 60 Pa+++ Broad Spectrum For All Skin | 3 In 1 Matte Lotion UVA/UVB Protection, Moisture Balance, Even Tone Skin | Sunscreen For Men/Women 50Ml","Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.0,65,0.3201,False,True,True,0.6194,69.03,Moderately Authentic
Buvana Balaji,18735,460,18,2.551,0.3609,SunScoop 5% Niacinamide Daily Moisture Sunscreen Body Lotion SPF 50+ PA++++ Broad Spectrum| In-Vitro Tested| 24-Hours Moisturization| Non-Greasy| No White Cast| Reduces Tan| Smoothens Skin (200ml),"Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.2,63,0.4325,False,False,False,0.0716,96.41999999999999,Highly Authentic
Lav💕,2163119,46207,208,2.146,0.8777,"PLIX - THE PLANT FIX Watermelon Tint Twist Color-Adapting Sunscreen | For light coverage & instant glow | SPF 50 PA++++ | Pentavitin®, Suncat DE™ | Sun Damage & Tan Repair | low to medium coverage | Light Golden Glow","Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.1,81,0.5758,True,True,True,0.30190000000000006,84.905,Highly Authentic
Divya Saravanan Vlogs,553435,8853,131,1.623,0.1503,"MakeMeeBold 3-in-1 Hot Air Brush | Hair Dryer, Straightener & Volumizer | 1.5-Inch Barrel | 1200W Blow Dryer Brush with Ceramic Coating | For All Hair Types | Gifts for woman (Black - Rose Gold)","Health & Personal Care
Bestsellers
Diet & Nutrition
Household Supplies
Health Care
Medical Equipment
Personal Care
Sports Supplements
Shaving & Hair Removal",4.2,22,0.1713,True,False,True,0.02100000000000002,98.95,Highly Authentic
Tech Satire,464670,27024,32,5.823,-0.1537,"Whoop 5.0 Peak – Health and Fitness Tracker - 12-Month Membership – 24/7 Activity and Sleep Tracker with Heart Rate, HRV, Stress Monitor, Personalized Coaching, Healthspan – 14+ Days Battery Life","Kitchen & Home Appliances
Large Appliances
Kitchen & Dining
Furniture
Home Furnishing
Home Decor
Home Improvement",4.4,24,0.3734,True,False,True,0.5271,73.64500000000001,Moderately Authentic
Vibe with varshu,3002171,58376,128,1.949,0.1087,"Vilvah Store Annapoorna Rose Milk Lip Balm | For Dry, Chapped & Pigmented Lips | Infused With Paneer Rose Petals | Tinted Lip Balm | Suitable for Men & Women | 10g","Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.5,7,0.5257,True,False,True,0.4169999999999999,79.15,Moderately Authentic
Soundarya with Varshini - Telugu,1350963,27463,85,2.039,-0.7896,Mamaearth Rosemary Anti Hair Fall Shampoo with Rosemary & Methi Dana for Reducing Hair Loss & Breakage- 250 ml | Up to 94% Stronger Hair* | Up to 93% Less Hair Fall | For Men and Women,"Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",3.9,89,0.229,True,False,True,1.0186,49.07,Low Authenticity
Glam by Pragya,2077922,23452,371,1.146,-0.7676,"Foxtale De-Tan Face Mask for Glowing Skin| Clay Mask with Lactic Acid for Tan Removal, Reduction in Blackheads, Instant Brightening| New-Age Ubtan Face Pack for All Skin Types | Men & Women- 75g","Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.1,79,0.5452,True,False,True,1.3128,34.36,Low Authenticity
Elnaz Hamai,393570,4956,41,1.27,0.913,JD FRESH 4-Tier Metal Rotating Kitchen Trolley/Spice Rack/Vegetable & Fruit Storage/Organizer Holder/Onion-Potato Storage Basket for Kitchen/Vegetable Storage Stand,"Kitchen & Home Appliances
Large Appliances
Kitchen & Dining
Furniture
Home Furnishing
Home Decor
Home Improvement",4.1,81,0.6052,False,True,True,0.3078000000000001,84.61,Highly Authentic
Tamil Teckie,3645,19,0,0.521,0.3385,"Milton Flip Lid 1000 Thermosteel Water Bottle 1 LTR, 24 Hr Hot and Cold I Leak Proof Lid, ISI Certified I Vacuum Insulated I for Office, Gym, School I Silver","Kitchen & Home Appliances
Large Appliances
Kitchen & Dining
Furniture
Home Furnishing
Home Decor
Home Improvement",4.2,63,0.2629,True,False,True,0.0756,96.22,Highly Authentic
Vijay Ideas,679116,14475,98,2.146,0.8241,"Emma Original Ortho Mattress | Europe's Most Awarded Mattress (Now in India) | Orthopedic Mattress |Memory Foam| 15 Year Warranty (Queen, 75x60x8 Inches)","Kitchen & Home Appliances
Large Appliances
Kitchen & Dining
Furniture
Home Furnishing
Home Decor
Home Improvement",3.9,59,0.0835,False,False,False,0.7406,62.96999999999999,Moderately Authentic
World Of Panimalar Panneerselvam,15792,143,3,0.925,0.9203,"Wakefit Skiver L Shape 6 Seater Sofa Set (3 Seater + Left Aligned Chaise, Toffee Brown)","Mobiles & Accessories
Laptops & Accessories
TV & Home Entertainment
Audio
Cameras
Computer Peripherals
Smart Technology",4.2,72,0.5381,False,True,True,0.3822,80.89,Highly Authentic
Travel and stuff,267288,1869,30,0.71,0.9293,"Amazon Basics Digital Safe With Electronic Keypad Locker For Home, Gross Capacity - 58L (Net - 51L), Black","Home Improvement
Power & Hand Tools
Cleaning Supplies
Electrical
Safety & Security
Kitchen & Bath Fixtures
Hardware",4.0,60,0.0376,False,True,True,0.8917,55.41499999999999,Moderately Authentic
Nila Arunkumar,27237,492,9,1.839,-0.6203,"Hisre All in one Waterfall Kitchen Sink, 304 Stainless Steel, 30x18x9 Inch, Matt Black, with Cup Washer, Drain Baskets","Home Improvement
Power & Hand Tools
Cleaning Supplies
Electrical
Safety & Security
Kitchen & Bath Fixtures
Hardware",2.8,8,-0.21,False,False,False,0.4103,79.485,Moderately Authentic
JourneyWithSamreen ( Shorts),212248,3407,112,1.658,0.9004,"Lifelong Treadmill for Home Gym 4.5 HP Peak Motorised Treadmill with 12 Preset Fitness Workouts, Max Running Speed 12km/hr, Foldable Machine, Bluetooth Speaker, Max User Weight 100 kg (Black, LLTM09)","Sports, Fitness & Outdoors
Exercise & Fitness
Cricket
Badminton
Cycling
Football
Running
Camping & Hiking
Swimming
Volleyball
Basketball",4.3,80,0.9012,False,True,True,0.0008000000000000229,99.96000000000001,Highly Authentic
Beauty Tips Tamil,540836,12992,87,2.418,0.7116,Lib Balm 15 SPF 10gm pack of 1,"Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.5,4,0.6856,False,False,False,0.026000000000000023,98.7,Highly Authentic
Greens Concept,1292,8,0,0.619,0.6481,Green's Concepts Activated Charcoal Peel Off Mask for Men & Women (120ml) | Blackhead Remover & Tan Removal | Deep Pore Cleansing Bamboo Charcoal Face Pack | Oil Control & Anti-Pollution for Glowing Skin,"Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.4,9,0.5873,False,True,True,0.060799999999999965,96.96000000000001,Highly Authentic
Kongu Naatu Suvai,1873256,22349,312,1.21,-0.8734,"Kraft Stainless Steel Chopping Board for Kitchen - 31L x 20W cm, Space Saving Compact Design, Fruit Chopper, Meat Cutting Board, Vegetable Cutter Board, Heavy Duty, Rust Proof - Small Size","Kitchen & Home Appliances
Large Appliances
Kitchen & Dining
Furniture
Home Furnishing
Home Decor
Home Improvement",4.2,46,0.2205,False,False,False,1.0938999999999999,45.30500000000001,Low Authenticity
Offerpoint,27623,410,2,1.492,0.629,MILLION CASES Back Cover Case for OnePlus 12 Shockproof Protective Velocity Metal Craft Dual Glass Armor Case for Men & Boys(Blue),"Mobiles & Accessories
Laptops & Accessories
TV & Home Entertainment
Audio
Cameras
Computer Peripherals
Smart Technology",2.7,20,-0.3488,True,False,True,0.9778,51.11,Moderately Authentic
Be Like Barani,16791,500,67,3.377,-0.7893,"PLIX - THE PLANT FIX Neem Anti-Dandruff Advanced Kit | Shampoo (200ml), Conditioner (175ml) | Reduces Dandruff & Scalp Itching | Piractone Olamine & 3% Dandelix Pro™","Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.1,66,0.5751,False,False,False,1.3643999999999998,31.78000000000001,Low Authenticity
DhanaMani,1751057,46349,2194,2.772,0.8651,"Nykaa Matte to Last Liquid Lipstick, Matte Finish, 5ml - 18 Chai","Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.3,53,0.3831,True,True,True,0.482,75.9,Moderately Authentic
Tech Boss,1805770,65123,146,3.614,0.1953,"Cotton Candy Machine Mini Hard and Sugar Free Countertop Electric Candyfloss Making Machine Sugar Floss Maker for Home Birthday Family Party, Ocassion","Kitchen & Home Appliances
Large Appliances
Kitchen & Dining
Furniture
Home Furnishing
Home Decor
Home Improvement",3.7,19,-0.2459,True,False,True,0.44120000000000004,77.94,Moderately Authentic
Mr.Siddiq,10065689,170264,464,1.696,0.1062,9 Inch Length Plush Sleeve Cover Wall Paint Painting Brush Roller,"Home Improvement
Power & Hand Tools
Cleaning Supplies
Electrical
Safety & Security
Kitchen & Bath Fixtures
Hardware",3.9,18,0.17,True,False,True,0.06380000000000001,96.81,Highly Authentic
VB Fun Factory,1657659,79543,119,4.806,0.2505,Magic Eraser Cuboids | Chemical Free Multipurpose Nano-tech Magic Sponge | Switch Boards Taps Wall Stain Remover Glass Shoes Sneakers Cleaning Sponge Cut Cuboids (Pack of 5 Cuboids),"Kitchen & Home Appliances
Large Appliances
Kitchen & Dining
Furniture
Home Furnishing
Home Decor
Home Improvement",3.6,72,-0.0614,True,False,True,0.3119,84.405,Highly Authentic
Tharaa Speakz,1783055,14063,51,0.792,0.9414,Pond's Natural Glow Face Powder|| Pink Glow - 30G,"Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.2,51,0.6117,True,True,True,0.3297,83.515,Highly Authentic
Abhi Lifestory ,955493,11946,587,1.312,0.952,SEZNIK Vacuum Cleaner for Home Use | 4 in 1 Cordless Vacuum Cleaner & Blower | Rechargeable 6000mAh | 3 Speed Suction Upto 15000PA | BLDC Motor | Home & Car Use | 1 Year Warranty,"Kitchen & Home Appliances
Large Appliances
Kitchen & Dining
Furniture
Home Furnishing
Home Decor
Home Improvement",4.6,94,0.803,True,True,True,0.1489999999999999,92.55,Highly Authentic
BlushbyBlessy,92195,1651,13,1.805,0.7422,"Dot & Key Meltie Lip Balm SPF 50+++ In-Vivo Tested With 2% Kojic & Vitamin C | Hydrates Dry, Chapped Lips, Lightens Pigmentation, Brightens Lips | With Shea & Mango Butters, Peptide Infused | Strawberry Glaze | 4g","Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.4,76,0.8435,True,False,True,0.10130000000000006,94.93499999999999,Highly Authentic
Vlogsofsona,1677633,55867,277,3.347,0.366,"Little Birdie DIY Build a Mini Wooden Cottage Kit| for Home Decoration, Art & Craft, Creative, Fun & Activity DIY Learning Kit | Gift for Kids, Girls and Boys","Mobiles & Accessories
Laptops & Accessories
TV & Home Entertainment
Audio
Cameras
Computer Peripherals
Smart Technology",4.0,73,0.2283,True,False,True,0.1377,93.11500000000001,Highly Authentic
Miss Nithya,28304,663,23,2.424,0.5193,"Foxtale Oil-Balancing Gel Moisturizer with Niacinamide, Azelaic Acid Pearls & Cica, 8hr Shine-Free Hydration, Lightweight, Sebum Control, For Oily & Acne-Prone Skin, 50 ml | For Men & Women","Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.3,87,0.6512,True,False,True,0.13190000000000002,93.405,Highly Authentic
Hey it’s suji,1298575,15544,51,1.201,0.1305,"Everyuth Natural Advanced Golden Glow Peel Off Mask for Instant Glow Skin, 100 gm","Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.1,66,0.432,False,False,False,0.3015,84.92500000000001,Highly Authentic
Sethu,1326220,42012,246,3.186,0.9013,"Meyaar Vacuum Compression Travel Backpack for Airplane, 60L Expandable, Anti-Theft, 17.3 inch Laptop Backpack With Weatherproof and TSA Lock, Business Backpack For Men & Women (With Air Pump)","Mobiles & Accessories
Laptops & Accessories
TV & Home Entertainment
Audio
Cameras
Computer Peripherals
Smart Technology",3.8,16,0.3987,True,True,True,0.5025999999999999,74.87,Moderately Authentic
Agam by Smruthi,3060640,58631,324,1.926,0.0165,"NOFUZZ Turmeric Herbal Permanent Facial Hair Removal Pack | Painless Hair Removal | Lightens Thick Facial Hair | No Irritation, No Skin Rashes | 45g (Pack of 2)","Health & Personal Care
Bestsellers
Diet & Nutrition
Household Supplies
Health Care
Medical Equipment
Personal Care
Sports Supplements
Shaving & Hair Removal",3.7,14,0.5891,False,False,False,0.5726,71.37,Moderately Authentic
Fun with Siblings,790002,16271,73,2.069,0.9509,"ECOVACS DEEBOT N30 Plus White 2 in 1 Robot Vacuum & Mop, 2025 New Launch, Bagless Eco-Friendly Multi-Cyclone Auto Empty Station, 10000 Pa Suction, 5200mAh Battery, Covers 3500+sq ft, Zero Tangle 2.0","Kitchen & Home Appliances
Large Appliances
Kitchen & Dining
Furniture
Home Furnishing
Home Decor
Home Improvement",4.5,101,0.7709,True,True,True,0.17999999999999994,91.0,Highly Authentic
Lav💕,597328,8333,44,1.402,0.9858,"Vilvah Store Milk Powder Face Wash | Gentle Exfoliation & Deep Cleansing | Enriched with Rice Milk, Rice Silk,Rice Powder | For Normal to Oily & Acne Prone Skin | Unscented | Men & Women | 50G","Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.3,61,0.5311,True,True,True,0.4547,77.265,Moderately Authentic
Kirthika Banu Sekar ,17117,691,11,4.101,0.3814,"Asaya | Tone Restore | Advanced Pigmentation Cream with MelaMe™ Complex | Anti-Pigmentation Cream for Women & Men for Dark Neck, Knees & Elbows | 50 g","Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.6,52,0.5648,False,False,False,0.18339999999999995,90.83,Highly Authentic
Charu Vlogs,603877,24519,1398,4.292,0.2001,Chemist At Play Tinted Cherry Lip Balm with SPF 50 PA++++ | Moisturising Lip Balm for Daily Use | Repairs Chapped & Dry Lips | Brightens Dark Lips | 1% Kojic Acid | For Men & Women | 4.5 g,"Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.2,81,0.5308,True,False,True,0.33070000000000005,83.465,Highly Authentic
Shadhik Azeez,14533793,366880,1123,2.532,0.7386,"Silver Dip Modicare Instant Silver Cleaner Sparkling Clean Silver Without Silver Loss,(Silver Dip Modicare Cleaner) (C23075)-300+300ML","Industrial and Scientific
Best Sellers
Lab & Scientific Products
Janitorial & Sanitation Supplies
Test, Measure & Inspect
Tapes, Adhesives & Sealants
Occupational Health & Safety Products",4.0,79,-0.0398,True,False,True,0.7784,61.08,Moderately Authentic
Sneholic,358099,8284,78,2.335,0.7843,Himalaya Brightening Vitamin C Serum I 5X Vitamin C & 10 X Niacinamide I Brighter Skin from Day 3 | 15 ml,"Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.1,72,0.5206,True,False,True,0.26370000000000005,86.815,Highly Authentic
